title,price,location,date,link,image_url
Newly build 75 Sq yards home with covered car parking,"₹ 33,00,111","DABUA COLONY, FARIDABAD",No Date,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-680-sq-ft-in-dabua-colony-faridabad-iid-1806490193,No Image
2bhk furnished flat with covered car parking n guard facility,"₹ 35,00,000","OMKAR NAGAR, NAGPUR",No Date,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1050-sq-ft-in-omkar-nagar-nagpur-iid-1807316064,No Image
Car Seat Covers del,"₹ 3,800","TEEN MURTI MARG AREA, DELHI",No Date,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-teen-murti-marg-area-delhi-iid-1804756254,No Image
3bhk wid covered car parking lift park facing nr banks metro markt etc,"₹ 39,997","JANAKPURI, DELHI",No Date,https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1300-sq-ft-in-janakpuri-delhi-iid-1804007387,No Image
"Cushion for Sofa, Car and Decoration , Velvet Cover",₹ 600,"DIGGI, SRI GANGANAGAR",No Date,https://www.olx.in/item/home-decor-garden-c575-cushion-for-sofa-car-and-decoration-velvet-cover-in-diggi-sri-ganganagar-iid-1807321927,No Image
"2BHK with covered car parking at Narasimhanaicken Palayam, Coimbatore","₹ 9,000","NARASIMHANAICKENPALAYAM, COIMBATORE",No Date,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1000-sq-ft-in-narasimhanaickenpalayam-coimbatore-iid-1807320535,No Image
No Title,No Price,No Location,No Date,No Link,No Image
No Title,No Price,No Location,No Date,No Link,No Image
No Title,No Price,No Location,No Date,No Link,No Image
No Title,No Price,No Location,No Date,No Link,No Image
No Title,No Price,No Location,No Date,No Link,No Image
No Title,No Price,No Location,No Date,No Link,No Image
No Title,No Price,No Location,No Date,No Link,No Image
No Title,No Price,No Location,No Date,No Link,No Image
No Title,No Price,No Location,No Date,No Link,No Image
No Title,No Price,No Location,No Date,No Link,No Image
No Title,No Price,No Location,No Date,No Link,No Image
No Title,No Price,No Location,No Date,No Link,No Image
No Title,No Price,No Location,No Date,No Link,No Image
No Title,No Price,No Location,No Date,No Link,No Image
No Title,No Price,No Location,No Date,No Link,No Image
No Title,No Price,No Location,No Date,No Link,No Image
No Title,No Price,No Location,No Date,No Link,No Image
No Title,No Price,No Location,No Date,No Link,No Image
No Title,No Price,No Location,No Date,No Link,No Image
No Title,No Price,No Location,No Date,No Link,No Image
No Title,No Price,No Location,No Date,No Link,No Image
No Title,No Price,No Location,No Date,No Link,No Image
No Title,No Price,No Location,No Date,No Link,No Image
No Title,No Price,No Location,No Date,No Link,No Image
No Title,No Price,No Location,No Date,No Link,No Image
No Title,No Price,No Location,No Date,No Link,No Image
No Title,No Price,No Location,No Date,No Link,No Image
No Title,No Price,No Location,No Date,No Link,No Image
No Title,No Price,No Location,No Date,No Link,No Image
No Title,No Price,No Location,No Date,No Link,No Image
No Title,No Price,No Location,No Date,No Link,No Image
No Title,No Price,No Location,No Date,No Link,No Image
No Title,No Price,No Location,No Date,No Link,No Image
No Title,No Price,No Location,No Date,No Link,No Image
Covered car parking for sale (negotiable),"₹ 10,00,000","SUBHASPALLY, SILIGURI",No Date,https://www.olx.in/item/for-sale-shops-offices-c1733-168-sq-ft-in-subhaspally-siliguri-iid-1805786910,https://apollo.olx.in/v1/files/m0xotcv23l79-ADVIN/image;s=150x0;q=50;f=webp;
Maruti Car Rim+FREE Wheel Cover,"₹ 1,100","SECTOR 120, NOIDA",No Date,https://www.olx.in/item/spare-parts-c1585-wheels-tyres-in-sector-120-noida-iid-1805660953,https://apollo.olx.in/v1/files/76ma8r2nf8lx1-ADVIN/image;s=150x0;q=50;f=webp;
75 Gaj newly constructed home with covered car parking,"₹ 33,00,001","NANGLA GURJAN, FARIDABAD",No Date,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-750-sq-ft-in-nangla-gurjan-faridabad-iid-1802577846,https://apollo.olx.in/v1/files/mmrcj0rga4e11-ADVIN/image;s=150x0;q=50;f=webp;
2BHK FLAT SALE Magnolia Fantasia with covered car parking No broaker,"₹ 26,90,000","BARASAT- BARRACKPORE ROAD, KOLKATA",No Date,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-689-sq-ft-in-barasat-barrackpore-road-kolkata-iid-1791888291,https://apollo.olx.in/v1/files/utghiy930pqf2-IN/image;s=150x0;q=50;f=webp;
2bhk in 50lacs with Covered car parking in Ravet,"₹ 50,00,000","RAVET, PUNE",No Date,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-877-sq-ft-in-ravet-pune-iid-1807154093,https://apollo.olx.in/v1/files/sa6tc7phncnr-IN/image;s=150x0;q=50;f=webp;
2bhk flat rent family car parking covered om soc katraj,"₹ 17,500","KATRAJ, PUNE",No Date,https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-915-sq-ft-in-katraj-pune-iid-1807134293,https://apollo.olx.in/v1/files/w5sutz6imv5c-IN/image;s=150x0;q=50;f=webp;
clean and pure original car with insurence covered,"₹ 5,70,000","VICTORIYA POOL, MANDI",No Date,https://www.olx.in/item/cars-c84-used-honda-amaze-in-victoriya-pool-mandi-iid-1804409599,https://apollo.olx.in/v1/files/xoz7bf556evj-ADVIN/image;s=150x0;q=50;f=webp;
Car seat covers floor Matt and steding covers available stching ftin,"₹ 3,600","HYDERGUDA, HYDERABAD",No Date,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-hyderguda-hyderabad-iid-1695988038,https://apollo.olx.in/v1/files/cs4u1wikttmm2-IN/image;s=150x0;q=50;f=webp;
Pioneer Car Stereo control panel+case+remote+Sony Xplod speaker cover,"₹ 3,600","GARHI HARSARU, GURGAON",No Date,https://www.olx.in/item/spare-parts-c1585-pioneer-car-stereo-control-panelcaseremotesony-xplod-speaker-cover-in-garhi-harsaru-gurgaon-iid-1804737204,https://apollo.olx.in/v1/files/32b13qahzsjp2-IN/image;s=150x0;q=50;f=webp;
Wagonr car cover 2015 model,₹ 333,"LAJPAT NAGAR, JAIPUR",No Date,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-lajpat-nagar-jaipur-iid-1807127666,https://apollo.olx.in/v1/files/at3xoon7dcky2-IN/image;s=150x0;q=50;f=webp;
Covered car parking with gate available on rent,"₹ 4,000","MANGALWAR PETH, PUNE",No Date,https://www.olx.in/item/for-rent-houses-apartments-c1723-apartments-100-sq-ft-in-mangalwar-peth-pune-iid-1807127306,https://apollo.olx.in/v1/files/bjmc6bit1pfb-IN/image;s=150x0;q=50;f=webp;
2Bhk flats with covered car parking,"₹ 42,00,000","PERUNGALATTUR, TAMBARAM",No Date,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-834-sq-ft-in-perungalattur-tambaram-iid-1805393637,No Image
3BHK South Open Flat with Covered Car Parking,"₹ 40,00,000","BAMUNARA, DURGAPUR",No Date,https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1555-sq-ft-in-bamunara-durgapur-iid-1807108365,No Image
Only 27k kms covered fully company serviced with loaded features,"₹ 8,70,000","PALLIKARANAI NARAYANAPURAM, CHENNAI",No Date,https://www.olx.in/item/cars-c84-used-honda-city-in-pallikaranai-narayanapuram-chennai-iid-1806140833,No Image
All type car seat cover manufacturing.. available at reasonable prices,No Price,"PALTA, KOLKATA",No Date,https://www.olx.in/item/other-services-c625-all-type-car-seat-cover-manufacturing-available-at-reasonable-prices-in-palta-kolkata-iid-1805085792,No Image
2bhk for sale with furniture & covered Car parking,"₹ 34,00,000","PISOLI, PUNE",No Date,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-873-sq-ft-in-pisoli-pune-iid-1805650393,No Image
Baleno 2025 car original new seat cover set,"₹ 3,500","TOLICHOWKI, HYDERABAD",No Date,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-tolichowki-hyderabad-iid-1807073615,No Image
All Car seat covers starting covers full mat available,"₹ 5,000","BV NAGAR NEAR AC NAGAR, NELLORE",No Date,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-bv-nagar-near-ac-nagar-nellore-iid-1807067829,No Image
Car cover A 2XL,₹ 699,"MANNS COMPOUND, MADIKERI",No Date,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-manns-compound-madikeri-iid-1807063852,No Image
Triber Car Cover,₹ 600,"KOLANGATTUKKARA, THRISSUR",No Date,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-kolangattukkara-thrissur-iid-1807057385,No Image
75 gaj home with covered car parking near sohna road highway,"₹ 33,00,100","JAWAHAR COLONY, FARIDABAD",No Date,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-713-sq-ft-in-jawahar-colony-faridabad-iid-1787652614,No Image
Kia Sonet Car Cover with Mirror & Antena Pocket Waterproof,"₹ 1,250","PULIAKULAM, COIMBATORE",No Date,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-puliakulam-coimbatore-iid-1807041690,No Image
Ecco car cover,"₹ 1,500","OMEX CITY, LUCKNOW",No Date,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-omex-city-lucknow-iid-1805895660,No Image
"2BHK, Covered Car Parking, Lift, Trustpuram","₹ 60,000","KODAMBAKKAM TRUSTPURAM, CHENNAI",No Date,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1079-sq-ft-in-kodambakkam-trustpuram-chennai-iid-1800487903,No Image
4CENT 3BHK TWO COVERED CAR PARKING POSH VILLA FOR SALE IN ELAMAKKARA,"₹ 95,00,000","ELAMAKKARA, KOCHI",No Date,https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-houses-villas-1700-sq-ft-in-elamakkara-kochi-iid-1796642316,No Image
3Bhk flat with covered car parking Double height for sale,"₹ 95,00,000","AMBEGAON, PUNE",No Date,https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1544-sq-ft-in-ambegaon-pune-iid-1786873409,No Image
Full save car with new teyars with sit covers all documents okay,"₹ 1,30,000","KHWAS KHAN, JAMMU",No Date,https://www.olx.in/item/cars-c84-used-hyundai-i10-in-khwas-khan-jammu-iid-1807007157,No Image
3 BHK luxury independent floor with lift covered car parking,"₹ 44,99,999","GOVINDPURAM, GHAZIABAD",No Date,https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-builder-floors-1350-sq-ft-in-govindpuram-ghaziabad-iid-1787565848,No Image
car seat covers,"₹ 3,500","PAMMAL ANNA NAGAR, CHENNAI",No Date,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-pammal-anna-nagar-chennai-iid-1778216028,No Image
Eon car foot mat cover,₹ 100,"VIDHYADHAR NAGAR, JAIPUR",No Date,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-vidhyadhar-nagar-jaipur-iid-1777718674,No Image
Car universal 9d seat covers,"₹ 9,999","DWARKA SECTOR 98, DELHI",No Date,https://www.olx.in/item/spare-parts-c1585-car-universal-9d-seat-covers-in-dwarka-sector-98-delhi-iid-1800676552,No Image
Amaze excellent like new tyre and seat cover,"₹ 5,55,000","MTS NAGAR, JALANDHAR",No Date,https://www.olx.in/item/cars-c84-used-honda-amaze-in-mts-nagar-jalandhar-iid-1806975868,No Image
3BHK Premium Apartment with Covered Car Parking - at Padur.,"₹ 70,00,000","NAVALUR, CHENNAI",No Date,https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-918-sq-ft-in-navalur-chennai-iid-1804389776,No Image
"Brand New car , auto form seat cover , original Back camera","₹ 8,50,000","ASHOKA NIKETAN, DELHI",No Date,https://www.olx.in/item/cars-c84-used-maruti-suzuki-swift-dzire-in-ashoka-niketan-delhi-iid-1806960197,No Image
Car cover for urgent sale,"₹ 1,200","NEHRU ROAD, MUMBAI",No Date,https://www.olx.in/item/spare-parts-c1585-car-cover-for-urgent-sale-in-nehru-road-mumbai-iid-1806960036,No Image
Car body cover,"₹ 28,500","MODEL TOWN, REWARI",No Date,https://www.olx.in/item/cars-c84-used-kia-syros-in-model-town-rewari-iid-1806959050,No Image
A 800 SQFT FURNISHED 1BHK FLAT COVERED CAR PARK AVAILABLE FOR RENT,"₹ 40,000","VIMAN NAGAR, PUNE",No Date,https://www.olx.in/item/for-rent-shops-offices-c1731-800-sq-ft-in-viman-nagar-pune-iid-1804964379,https://apollo.olx.in/v1/files/m44iz9zl0m84-SHOWROOM/image;s=28x0;f=webp;
Swift car seat cover vsp,"₹ 3,800","SEETAMMA PETA, VISAKHAPATNAM",No Date,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-seetamma-peta-visakhapatnam-iid-1806934069,No Image
* Honda Amaze 2015 Petrol Well Maintained *new seat cover,"₹ 4,45,000","KOYILANDY, KOZHIKODE",No Date,https://www.olx.in/item/cars-c84-used-honda-amaze-in-koyilandy-kozhikode-iid-1806929193,No Image
2bhk attached first floor with covered car parking,"₹ 14,000","MANACAUD, THIRUVANANTHAPURAM",No Date,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-houses-villas-1800-sq-ft-in-manacaud-thiruvananthapuram-iid-1805132334,No Image
"Car Accessories door Visor, Wheel cover, chrome item for sale",₹ 499,"SIMILIPADA, ANUGUL",No Date,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-similipada-anugul-iid-1806924286,https://apollo.olx.in/v1/files/r632hsobrnwe1-IN/image;s=150x0;q=50;f=webp;
All cars side mirror batman cover abs plastic piano black,"₹ 2,499","GANGTOK PRIVATE ESTATE, GANGTOK",No Date,https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-batman-cover-abs-plastic-piano-black-in-gangtok-private-estate-gangtok-iid-1804943156,https://apollo.olx.in/v1/files/ab502bvqcesl1-ADVIN/image;s=150x0;q=50;f=webp;
All cars side mirror cover batman style abs plastic piano black,"₹ 2,500","ANNA NAGAR, MADURAI",No Date,https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-cover-batman-style-abs-plastic-piano-black-in-anna-nagar-madurai-iid-1802991925,https://apollo.olx.in/v1/files/l5tai0pdz01n1-ADVIN/image;s=150x0;q=50;f=webp;
CAR SEAT COVER,"₹ 1,100","AYATHIL, KOLLAM",No Date,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-ayathil-kollam-iid-1806904918,https://apollo.olx.in/v1/files/fuwtpmt1bpre-IN/image;s=150x0;q=50;f=webp;
Ready to move with covered car parking 3bhk available for sale,"₹ 37,56,000","SURAJPUR, GREATER NOIDA",No Date,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1020-sq-ft-in-surajpur-greater-noida-iid-1806902543,https://apollo.olx.in/v1/files/x628xk65bg343-IN/image;s=150x0;q=50;f=webp;
